Fecha,Date,Day Week,Day Month,Week of Month,Week of Year,Week of Year ISO,Week ID ISO,Month of Year,Month name,Quarter No,Quarter,Year,Year-Month,Year-Week,Year-Month ISO,Year-Week ISO,Year_ISO
2014-02-11,02-11-2014,02,11,02,07,07,06,02,February,01,Q01,2014,201402,201407,201402,201407,2014
2014-02-12,02-12-2014,03,12,02,07,07,07,02,February,01,Q01,2014,201402,201407,201402,201407,2014
2014-02-13,02-13-2014,04,13,02,07,07,07,02,February,01,Q01,2014,201402,201407,201402,201407,2014
2014-02-14,02-14-2014,05,14,02,07,07,07,02,February,01,Q01,2014,201402,201407,201402,201407,2014
2014-02-15,02-15-2014,06,15,03,07,07,07,02,February,01,Q01,2014,201402,201407,201402,201407,2014
2014-02-16,02-16-2014,07,16,03,08,07,07,02,February,01,Q01,2014,201402,201408,201402,201407,2014
2014-02-17,02-17-2014,01,17,03,08,08,07,02,February,01,Q01,2014,201402,201408,201402,201408,2014
2014-02-18,02-18-2014,02,18,03,08,08,07,02,February,01,Q01,2014,201402,201408,201402,201408,2014
2014-02-19,02-19-2014,03,19,03,08,08,08,02,February,01,Q01,2014,201402,201408,201402,201408,2014
2014-02-20,02-20-2014,04,20,03,08,08,08,02,February,01,Q01,2014,201402,201408,201402,201408,2014
2014-02-21,02-21-2014,05,21,03,08,08,08,02,February,01,Q01,2014,201402,201408,201402,201408,2014
2014-02-22,02-22-2014,06,22,04,08,08,08,02,February,01,Q01,2014,201402,201408,201402,201408,2014
2014-02-23,02-23-2014,07,23,04,09,08,08,02,February,01,Q01,2014,201402,201409,201402,201408,2014
2014-02-24,02-24-2014,01,24,04,09,09,08,02,February,01,Q01,2014,201402,201409,201402,201409,2014
2014-02-25,02-25-2014,02,25,04,09,09,08,02,February,01,Q01,2014,201402,201409,201402,201409,2014
2014-02-26,02-26-2014,03,26,04,09,09,09,02,February,01,Q01,2014,201402,201409,201402,201409,2014
2014-02-27,02-27-2014,04,27,04,09,09,09,02,February,01,Q01,2014,201402,201409,201402,201409,2014
2014-02-28,02-28-2014,05,28,04,09,09,09,02,February,01,Q01,2014,201402,201409,201402,201409,2014
2014-03-01,03-01-2014,06,01,01,09,09,09,03,March,01,Q01,2014,201403,201409,201403,201409,2014
2014-03-02,03-02-2014,07,02,01,10,09,09,03,March,01,Q01,2014,201403,201410,201403,201409,2014
2014-03-03,03-03-2014,01,03,01,10,10,09,03,March,01,Q01,2014,201403,201410,201403,201410,2014
2014-03-04,03-04-2014,02,04,01,10,10,09,03,March,01,Q01,2014,201403,201410,201403,201410,2014
2014-03-05,03-05-2014,03,05,01,10,10,10,03,March,01,Q01,2014,201403,201410,201403,201410,2014
2014-03-06,03-06-2014,04,06,01,10,10,10,03,March,01,Q01,2014,201403,201410,201403,201410,2014
2014-03-07,03-07-2014,05,07,01,10,10,10,03,March,01,Q01,2014,201403,201410,201403,201410,2014
2014-03-08,03-08-2014,06,08,02,10,10,10,03,March,01,Q01,2014,201403,201410,201403,201410,2014
2014-03-09,03-09-2014,07,09,02,11,10,10,03,March,01,Q01,2014,201403,201411,201403,201410,2014
2014-03-10,03-10-2014,01,10,02,11,11,10,03,March,01,Q01,2014,201403,201411,201403,201411,2014
2014-03-11,03-11-2014,02,11,02,11,11,10,03,March,01,Q01,2014,201403,201411,201403,201411,2014
2014-03-12,03-12-2014,03,12,02,11,11,11,03,March,01,Q01,2014,201403,201411,201403,201411,2014
2014-03-13,03-13-2014,04,13,02,11,11,11,03,March,01,Q01,2014,201403,201411,201403,201411,2014
2014-03-14,03-14-2014,05,14,02,11,11,11,03,March,01,Q01,2014,201403,201411,201403,201411,2014
2014-03-15,03-15-2014,06,15,03,11,11,11,03,March,01,Q01,2014,201403,201411,201403,201411,2014
2014-03-16,03-16-2014,07,16,03,12,11,11,03,March,01,Q01,2014,201403,201412,201403,201411,2014
2014-03-17,03-17-2014,01,17,03,12,12,11,03,March,01,Q01,2014,201403,201412,201403,201412,2014
2014-03-18,03-18-2014,02,18,03,12,12,11,03,March,01,Q01,2014,201403,201412,201403,201412,2014
2014-03-19,03-19-2014,03,19,03,12,12,12,03,March,01,Q01,2014,201403,201412,201403,201412,2014
2014-03-20,03-20-2014,04,20,03,12,12,12,03,March,01,Q01,2014,201403,201412,201403,201412,2014
2014-03-21,03-21-2014,05,21,03,12,12,12,03,March,01,Q01,2014,201403,201412,201403,201412,2014
2014-03-22,03-22-2014,06,22,04,12,12,12,03,March,01,Q01,2014,201403,201412,201403,201412,2014
2014-03-23,03-23-2014,07,23,04,13,12,12,03,March,01,Q01,2014,201403,201413,201403,201412,2014
2014-03-24,03-24-2014,01,24,04,13,13,12,03,March,01,Q01,2014,201403,201413,201403,201413,2014
2014-03-25,03-25-2014,02,25,04,13,13,12,03,March,01,Q01,2014,201403,201413,201403,201413,2014
2014-03-26,03-26-2014,03,26,04,13,13,13,03,March,01,Q01,2014,201403,201413,201403,201413,2014
2014-03-27,03-27-2014,04,27,04,13,13,13,03,March,01,Q01,2014,201403,201413,201403,201413,2014
2014-03-28,03-28-2014,05,28,04,13,13,13,03,March,01,Q01,2014,201403,201413,201403,201413,2014
2014-03-29,03-29-2014,06,29,05,13,13,13,03,March,01,Q01,2014,201403,201413,201403,201413,2014
2014-03-30,03-30-2014,07,30,05,14,13,13,03,March,01,Q01,2014,201403,201414,201403,201413,2014
2014-03-31,03-31-2014,01,31,05,14,14,13,03,March,01,Q01,2014,201403,201414,201403,201414,2014
2014-04-01,04-01-2014,02,01,01,14,14,13,04,April,02,Q02,2014,201404,201414,201404,201414,2014
2014-04-02,04-02-2014,03,02,01,14,14,14,04,April,02,Q02,2014,201404,201414,201404,201414,2014
2014-04-03,04-03-2014,04,03,01,14,14,14,04,April,02,Q02,2014,201404,201414,201404,201414,2014
2014-04-04,04-04-2014,05,04,01,14,14,14,04,April,02,Q02,2014,201404,201414,201404,201414,2014
2014-04-05,04-05-2014,06,05,01,14,14,14,04,April,02,Q02,2014,201404,201414,201404,201414,2014
2014-04-06,04-06-2014,07,06,01,15,14,14,04,April,02,Q02,2014,201404,201415,201404,201414,2014
2014-04-07,04-07-2014,01,07,01,15,15,14,04,April,02,Q02,2014,201404,201415,201404,201415,2014
2014-04-08,04-08-2014,02,08,02,15,15,14,04,April,02,Q02,2014,201404,201415,201404,201415,2014
2014-04-09,04-09-2014,03,09,02,15,15,15,04,April,02,Q02,2014,201404,201415,201404,201415,2014
2014-04-10,04-10-2014,04,10,02,15,15,15,04,April,02,Q02,2014,201404,201415,201404,201415,2014
2014-04-11,04-11-2014,05,11,02,15,15,15,04,April,02,Q02,2014,201404,201415,201404,201415,2014
2014-04-12,04-12-2014,06,12,02,15,15,15,04,April,02,Q02,2014,201404,201415,201404,201415,2014
2014-04-13,04-13-2014,07,13,02,16,15,15,04,April,02,Q02,2014,201404,201416,201404,201415,2014
2014-04-14,04-14-2014,01,14,02,16,16,15,04,April,02,Q02,2014,201404,201416,201404,201416,2014
2014-04-15,04-15-2014,02,15,03,16,16,15,04,April,02,Q02,2014,201404,201416,201404,201416,2014
2014-04-16,04-16-2014,03,16,03,16,16,16,04,April,02,Q02,2014,201404,201416,201404,201416,2014
2014-04-17,04-17-2014,04,17,03,16,16,16,04,April,02,Q02,2014,201404,201416,201404,201416,2014
2014-04-18,04-18-2014,05,18,03,16,16,16,04,April,02,Q02,2014,201404,201416,201404,201416,2014
2014-04-19,04-19-2014,06,19,03,16,16,16,04,April,02,Q02,2014,201404,201416,201404,201416,2014
2014-04-20,04-20-2014,07,20,03,17,16,16,04,April,02,Q02,2014,201404,201417,201404,201416,2014
2014-04-21,04-21-2014,01,21,03,17,17,16,04,April,02,Q02,2014,201404,201417,201404,201417,2014
2014-04-22,04-22-2014,02,22,04,17,17,16,04,April,02,Q02,2014,201404,201417,201404,201417,2014
2014-04-23,04-23-2014,03,23,04,17,17,17,04,April,02,Q02,2014,201404,201417,201404,201417,2014
2014-04-24,04-24-2014,04,24,04,17,17,17,04,April,02,Q02,2014,201404,201417,201404,201417,2014
2014-04-25,04-25-2014,05,25,04,17,17,17,04,April,02,Q02,2014,201404,201417,201404,201417,2014
2014-04-26,04-26-2014,06,26,04,17,17,17,04,April,02,Q02,2014,201404,201417,201404,201417,2014
2014-04-27,04-27-2014,07,27,04,18,17,17,04,April,02,Q02,2014,201404,201418,201404,201417,2014
2014-04-28,04-28-2014,01,28,04,18,18,17,04,April,02,Q02,2014,201404,201418,201404,201418,2014
2014-04-29,04-29-2014,02,29,05,18,18,17,04,April,02,Q02,2014,201404,201418,201404,201418,2014
2014-04-30,04-30-2014,03,30,05,18,18,18,04,April,02,Q02,2014,201404,201418,201404,201418,2014
2014-05-01,05-01-2014,04,01,01,18,18,18,05,May,02,Q02,2014,201405,201418,201405,201418,2014
2014-05-02,05-02-2014,05,02,01,18,18,18,05,May,02,Q02,2014,201405,201418,201405,201418,2014
2014-05-03,05-03-2014,06,03,01,18,18,18,05,May,02,Q02,2014,201405,201418,201405,201418,2014
2014-05-04,05-04-2014,07,04,01,19,18,18,05,May,02,Q02,2014,201405,201419,201405,201418,2014
2014-05-05,05-05-2014,01,05,01,19,19,18,05,May,02,Q02,2014,201405,201419,201405,201419,2014
2014-05-06,05-06-2014,02,06,01,19,19,18,05,May,02,Q02,2014,201405,201419,201405,201419,2014
2014-05-07,05-07-2014,03,07,01,19,19,19,05,May,02,Q02,2014,201405,201419,201405,201419,2014
2014-05-08,05-08-2014,04,08,02,19,19,19,05,May,02,Q02,2014,201405,201419,201405,201419,2014
2014-05-09,05-09-2014,05,09,02,19,19,19,05,May,02,Q02,2014,201405,201419,201405,201419,2014
2014-05-10,05-10-2014,06,10,02,19,19,19,05,May,02,Q02,2014,201405,201419,201405,201419,2014
2014-05-11,05-11-2014,07,11,02,20,19,19,05,May,02,Q02,2014,201405,201420,201405,201419,2014
2014-05-12,05-12-2014,01,12,02,20,20,19,05,May,02,Q02,2014,201405,201420,201405,201420,2014
2014-05-13,05-13-2014,02,13,02,20,20,19,05,May,02,Q02,2014,201405,201420,201405,201420,2014
2014-05-14,05-14-2014,03,14,02,20,20,20,05,May,02,Q02,2014,201405,201420,201405,201420,2014
2014-05-15,05-15-2014,04,15,03,20,20,20,05,May,02,Q02,2014,201405,201420,201405,201420,2014
2014-05-16,05-16-2014,05,16,03,20,20,20,05,May,02,Q02,2014,201405,201420,201405,201420,2014
2014-05-17,05-17-2014,06,17,03,20,20,20,05,May,02,Q02,2014,201405,201420,201405,201420,2014
2014-05-18,05-18-2014,07,18,03,21,20,20,05,May,02,Q02,2014,201405,201421,201405,201420,2014
2014-05-19,05-19-2014,01,19,03,21,21,20,05,May,02,Q02,2014,201405,201421,201405,201421,2014
2014-05-20,05-20-2014,02,20,03,21,21,20,05,May,02,Q02,2014,201405,201421,201405,201421,2014
2014-05-21,05-21-2014,03,21,03,21,21,21,05,May,02,Q02,2014,201405,201421,201405,201421,2014
2014-05-22,05-22-2014,04,22,04,21,21,21,05,May,02,Q02,2014,201405,201421,201405,201421,2014
2014-05-23,05-23-2014,05,23,04,21,21,21,05,May,02,Q02,2014,201405,201421,201405,201421,2014
2014-05-24,05-24-2014,06,24,04,21,21,21,05,May,02,Q02,2014,201405,201421,201405,201421,2014
2014-05-25,05-25-2014,07,25,04,22,21,21,05,May,02,Q02,2014,201405,201422,201405,201421,2014
2014-05-26,05-26-2014,01,26,04,22,22,21,05,May,02,Q02,2014,201405,201422,201405,201422,2014
2014-05-27,05-27-2014,02,27,04,22,22,21,05,May,02,Q02,2014,201405,201422,201405,201422,2014
2014-05-28,05-28-2014,03,28,04,22,22,22,05,May,02,Q02,2014,201405,201422,201405,201422,2014
2014-05-29,05-29-2014,04,29,05,22,22,22,05,May,02,Q02,2014,201405,201422,201405,201422,2014
2014-05-30,05-30-2014,05,30,05,22,22,22,05,May,02,Q02,2014,201405,201422,201405,201422,2014
2014-05-31,05-31-2014,06,31,05,22,22,22,05,May,02,Q02,2014,201405,201422,201405,201422,2014
2014-06-01,06-01-2014,07,01,01,23,22,22,06,June,02,Q02,2014,201406,201423,201406,201422,2014
2014-06-02,06-02-2014,01,02,01,23,23,22,06,June,02,Q02,2014,201406,201423,201406,201423,2014
2014-06-03,06-03-2014,02,03,01,23,23,22,06,June,02,Q02,2014,201406,201423,201406,201423,2014
2014-06-04,06-04-2014,03,04,01,23,23,23,06,June,02,Q02,2014,201406,201423,201406,201423,2014
2014-06-05,06-05-2014,04,05,01,23,23,23,06,June,02,Q02,2014,201406,201423,201406,201423,2014
2014-06-06,06-06-2014,05,06,01,23,23,23,06,June,02,Q02,2014,201406,201423,201406,201423,2014
2014-06-07,06-07-2014,06,07,01,23,23,23,06,June,02,Q02,2014,201406,201423,201406,201423,2014
2014-06-08,06-08-2014,07,08,02,24,23,23,06,June,02,Q02,2014,201406,201424,201406,201423,2014
2014-06-09,06-09-2014,01,09,02,24,24,23,06,June,02,Q02,2014,201406,201424,201406,201424,2014
2014-06-10,06-10-2014,02,10,02,24,24,23,06,June,02,Q02,2014,201406,201424,201406,201424,2014
2014-06-11,06-11-2014,03,11,02,24,24,24,06,June,02,Q02,2014,201406,201424,201406,201424,2014
2014-06-12,06-12-2014,04,12,02,24,24,24,06,June,02,Q02,2014,201406,201424,201406,201424,2014
2014-06-13,06-13-2014,05,13,02,24,24,24,06,June,02,Q02,2014,201406,201424,201406,201424,2014
2014-06-14,06-14-2014,06,14,02,24,24,24,06,June,02,Q02,2014,201406,201424,201406,201424,2014
2014-06-15,06-15-2014,07,15,03,25,24,24,06,June,02,Q02,2014,201406,201425,201406,201424,2014
2014-06-16,06-16-2014,01,16,03,25,25,24,06,June,02,Q02,2014,201406,201425,201406,201425,2014
2014-06-17,06-17-2014,02,17,03,25,25,24,06,June,02,Q02,2014,201406,201425,201406,201425,2014
2014-06-18,06-18-2014,03,18,03,25,25,25,06,June,02,Q02,2014,201406,201425,201406,201425,2014
2014-06-19,06-19-2014,04,19,03,25,25,25,06,June,02,Q02,2014,201406,201425,201406,201425,2014
2014-06-20,06-20-2014,05,20,03,25,25,25,06,June,02,Q02,2014,201406,201425,201406,201425,2014
2014-06-21,06-21-2014,06,21,03,25,25,25,06,June,02,Q02,2014,201406,201425,201406,201425,2014
2014-06-22,06-22-2014,07,22,04,26,25,25,06,June,02,Q02,2014,201406,201426,201406,201425,2014
2014-06-23,06-23-2014,01,23,04,26,26,25,06,June,02,Q02,2014,201406,201426,201406,201426,2014
2014-06-24,06-24-2014,02,24,04,26,26,25,06,June,02,Q02,2014,201406,201426,201406,201426,2014
2014-06-25,06-25-2014,03,25,04,26,26,26,06,June,02,Q02,2014,201406,201426,201406,201426,2014
2014-06-26,06-26-2014,04,26,04,26,26,26,06,June,02,Q02,2014,201406,201426,201406,201426,2014
2014-06-27,06-27-2014,05,27,04,26,26,26,06,June,02,Q02,2014,201406,201426,201406,201426,2014
2014-06-28,06-28-2014,06,28,04,26,26,26,06,June,02,Q02,2014,201406,201426,201406,201426,2014
2014-06-29,06-29-2014,07,29,05,27,26,26,06,June,02,Q02,2014,201406,201427,201406,201426,2014
2014-06-30,06-30-2014,01,30,05,27,27,26,06,June,02,Q02,2014,201406,201427,201406,201427,2014
2014-07-01,07-01-2014,02,01,01,27,27,26,07,July,03,Q03,2014,201407,201427,201407,201427,2014
2014-07-02,07-02-2014,03,02,01,27,27,27,07,July,03,Q03,2014,201407,201427,201407,201427,2014
2014-07-03,07-03-2014,04,03,01,27,27,27,07,July,03,Q03,2014,201407,201427,201407,201427,2014
2014-07-04,07-04-2014,05,04,01,27,27,27,07,July,03,Q03,2014,201407,201427,201407,201427,2014
2014-07-05,07-05-2014,06,05,01,27,27,27,07,July,03,Q03,2014,201407,201427,201407,201427,2014
2014-07-06,07-06-2014,07,06,01,28,27,27,07,July,03,Q03,2014,201407,201428,201407,201427,2014
2014-07-07,07-07-2014,01,07,01,28,28,27,07,July,03,Q03,2014,201407,201428,201407,201428,2014
2014-07-08,07-08-2014,02,08,02,28,28,27,07,July,03,Q03,2014,201407,201428,201407,201428,2014
2014-07-09,07-09-2014,03,09,02,28,28,28,07,July,03,Q03,2014,201407,201428,201407,201428,2014
2014-07-10,07-10-2014,04,10,02,28,28,28,07,July,03,Q03,2014,201407,201428,201407,201428,2014
2014-07-11,07-11-2014,05,11,02,28,28,28,07,July,03,Q03,2014,201407,201428,201407,201428,2014
2014-07-12,07-12-2014,06,12,02,28,28,28,07,July,03,Q03,2014,201407,201428,201407,201428,2014
2014-07-13,07-13-2014,07,13,02,29,28,28,07,July,03,Q03,2014,201407,201429,201407,201428,2014
2014-07-14,07-14-2014,01,14,02,29,29,28,07,July,03,Q03,2014,201407,201429,201407,201429,2014
2014-07-15,07-15-2014,02,15,03,29,29,28,07,July,03,Q03,2014,201407,201429,201407,201429,2014
2014-07-16,07-16-2014,03,16,03,29,29,29,07,July,03,Q03,2014,201407,201429,201407,201429,2014
2014-07-17,07-17-2014,04,17,03,29,29,29,07,July,03,Q03,2014,201407,201429,201407,201429,2014
2014-07-18,07-18-2014,05,18,03,29,29,29,07,July,03,Q03,2014,201407,201429,201407,201429,2014
2014-07-19,07-19-2014,06,19,03,29,29,29,07,July,03,Q03,2014,201407,201429,201407,201429,2014
2014-07-20,07-20-2014,07,20,03,30,29,29,07,July,03,Q03,2014,201407,201430,201407,201429,2014
2014-07-21,07-21-2014,01,21,03,30,30,29,07,July,03,Q03,2014,201407,201430,201407,201430,2014
2014-07-22,07-22-2014,02,22,04,30,30,29,07,July,03,Q03,2014,201407,201430,201407,201430,2014
2014-07-23,07-23-2014,03,23,04,30,30,30,07,July,03,Q03,2014,201407,201430,201407,201430,2014
2014-07-24,07-24-2014,04,24,04,30,30,30,07,July,03,Q03,2014,201407,201430,201407,201430,2014
2014-07-25,07-25-2014,05,25,04,30,30,30,07,July,03,Q03,2014,201407,201430,201407,201430,2014
2014-07-26,07-26-2014,06,26,04,30,30,30,07,July,03,Q03,2014,201407,201430,201407,201430,2014
2014-07-27,07-27-2014,07,27,04,31,30,30,07,July,03,Q03,2014,201407,201431,201407,201430,2014
2014-07-28,07-28-2014,01,28,04,31,31,30,07,July,03,Q03,2014,201407,201431,201407,201431,2014
2014-07-29,07-29-2014,02,29,05,31,31,30,07,July,03,Q03,2014,201407,201431,201407,201431,2014
2014-07-30,07-30-2014,03,30,05,31,31,31,07,July,03,Q03,2014,201407,201431,201407,201431,2014
2014-07-31,07-31-2014,04,31,05,31,31,31,07,July,03,Q03,2014,201407,201431,201407,201431,2014
2014-08-01,08-01-2014,05,01,01,31,31,31,08,August,03,Q03,2014,201408,201431,201408,201431,2014
2014-08-02,08-02-2014,06,02,01,31,31,31,08,August,03,Q03,2014,201408,201431,201408,201431,2014
2014-08-03,08-03-2014,07,03,01,32,31,31,08,August,03,Q03,2014,201408,201432,201408,201431,2014
2014-08-04,08-04-2014,01,04,01,32,32,31,08,August,03,Q03,2014,201408,201432,201408,201432,2014
2014-08-05,08-05-2014,02,05,01,32,32,31,08,August,03,Q03,2014,201408,201432,201408,201432,2014
2014-08-06,08-06-2014,03,06,01,32,32,32,08,August,03,Q03,2014,201408,201432,201408,201432,2014
2014-08-07,08-07-2014,04,07,01,32,32,32,08,August,03,Q03,2014,201408,201432,201408,201432,2014
2014-08-08,08-08-2014,05,08,02,32,32,32,08,August,03,Q03,2014,201408,201432,201408,201432,2014
2014-08-09,08-09-2014,06,09,02,32,32,32,08,August,03,Q03,2014,201408,201432,201408,201432,2014
2014-08-10,08-10-2014,07,10,02,33,32,32,08,August,03,Q03,2014,201408,201433,201408,201432,2014
2014-08-11,08-11-2014,01,11,02,33,33,32,08,August,03,Q03,2014,201408,201433,201408,201433,2014
2014-08-12,08-12-2014,02,12,02,33,33,32,08,August,03,Q03,2014,201408,201433,201408,201433,2014
2014-08-13,08-13-2014,03,13,02,33,33,33,08,August,03,Q03,2014,201408,201433,201408,201433,2014
2014-08-14,08-14-2014,04,14,02,33,33,33,08,August,03,Q03,2014,201408,201433,201408,201433,2014
2014-08-15,08-15-2014,05,15,03,33,33,33,08,August,03,Q03,2014,201408,201433,201408,201433,2014
2014-08-16,08-16-2014,06,16,03,33,33,33,08,August,03,Q03,2014,201408,201433,201408,201433,2014
2014-08-17,08-17-2014,07,17,03,34,33,33,08,August,03,Q03,2014,201408,201434,201408,201433,2014
2014-08-18,08-18-2014,01,18,03,34,34,33,08,August,03,Q03,2014,201408,201434,201408,201434,2014
2014-08-19,08-19-2014,02,19,03,34,34,33,08,August,03,Q03,2014,201408,201434,201408,201434,2014
2014-08-20,08-20-2014,03,20,03,34,34,34,08,August,03,Q03,2014,201408,201434,201408,201434,2014
2014-08-21,08-21-2014,04,21,03,34,34,34,08,August,03,Q03,2014,201408,201434,201408,201434,2014
2014-08-22,08-22-2014,05,22,04,34,34,34,08,August,03,Q03,2014,201408,201434,201408,201434,2014
2014-08-23,08-23-2014,06,23,04,34,34,34,08,August,03,Q03,2014,201408,201434,201408,201434,2014
2014-08-24,08-24-2014,07,24,04,35,34,34,08,August,03,Q03,2014,201408,201435,201408,201434,2014
2014-08-25,08-25-2014,01,25,04,35,35,34,08,August,03,Q03,2014,201408,201435,201408,201435,2014
2014-08-26,08-26-2014,02,26,04,35,35,34,08,August,03,Q03,2014,201408,201435,201408,201435,2014
2014-08-27,08-27-2014,03,27,04,35,35,35,08,August,03,Q03,2014,201408,201435,201408,201435,2014
2014-08-28,08-28-2014,04,28,04,35,35,35,08,August,03,Q03,2014,201408,201435,201408,201435,2014
2014-08-29,08-29-2014,05,29,05,35,35,35,08,August,03,Q03,2014,201408,201435,201408,201435,2014
2014-08-30,08-30-2014,06,30,05,35,35,35,08,August,03,Q03,2014,201408,201435,201408,201435,2014
2014-08-31,08-31-2014,07,31,05,36,35,35,08,August,03,Q03,2014,201408,201436,201408,201435,2014
2014-09-01,09-01-2014,01,01,01,36,36,35,09,September,03,Q03,2014,201409,201436,201409,201436,2014
2014-09-02,09-02-2014,02,02,01,36,36,35,09,September,03,Q03,2014,201409,201436,201409,201436,2014
2014-09-03,09-03-2014,03,03,01,36,36,36,09,September,03,Q03,2014,201409,201436,201409,201436,2014
2014-09-04,09-04-2014,04,04,01,36,36,36,09,September,03,Q03,2014,201409,201436,201409,201436,2014
2014-09-05,09-05-2014,05,05,01,36,36,36,09,September,03,Q03,2014,201409,201436,201409,201436,2014
2014-09-06,09-06-2014,06,06,01,36,36,36,09,September,03,Q03,2014,201409,201436,201409,201436,2014
2014-09-07,09-07-2014,07,07,01,37,36,36,09,September,03,Q03,2014,201409,201437,201409,201436,2014
2014-09-08,09-08-2014,01,08,02,37,37,36,09,September,03,Q03,2014,201409,201437,201409,201437,2014
2014-09-09,09-09-2014,02,09,02,37,37,36,09,September,03,Q03,2014,201409,201437,201409,201437,2014
2014-09-10,09-10-2014,03,10,02,37,37,37,09,September,03,Q03,2014,201409,201437,201409,201437,2014
2014-09-11,09-11-2014,04,11,02,37,37,37,09,September,03,Q03,2014,201409,201437,201409,201437,2014
2014-09-12,09-12-2014,05,12,02,37,37,37,09,September,03,Q03,2014,201409,201437,201409,201437,2014
